id,pata_l,pata_a,area,dist_t,trackl,dominant,foto
1,14.9,5.5,,6.1,60.9,z,IMG_20211208_115453
2,11,5.3,,3.8,56.1,z,IMG_20211208_123950
3,10.1,5.5,,1.8,70.7,d,IMG_20211208_124302
4,8.9,4.9,,3,42.5,z,IMG_20211208_141628
,,,,,,,IMG_20211208_145713
,,,,,,,IMG_20211208_153441
,,,,,,,IMG_20211208_154525
,,,,,,,IMG_20211208_154737
,,,,,,,IMG_20211208_160328
,,,,,,,IMG_20211208_160417
,,,,,,,IMG_20211208_160438
,,,,,,,IMG_20211208_160515
,,,,,,,IMG_20211208_160810
,,,,,,,IMG_20211208_161128
,,,,,,,IMG_20211208_161211